payment_id,booking_ref,event_ts_utc,amount,currency,method,status
PAY700993,GWPL5Y,2026-05-01T05:12:08Z,26909.57,PKR,card,CAPTURED
PAY700269,PYFW9S,2026-05-01T05:32:33Z,97653.9,PKR,jazzcash,CAPTURED
PAY700458,6PE71D,2026-05-01T11:15:59Z,169476.84,PKR,easypaisa,CAPTURED
PAY700680,P2B7RE,2026-05-01T12:26:15Z,1446.62,AED,wallet,FAILED
PAY700681,P2B7RE,2026-05-01T12:53:15Z,1446.62,AED,jazzcash,CAPTURED
PAY700031,ULV6DG,2026-05-01T16:14:31Z,25417.08,PKR,wallet,CAPTURED
PAY700596,7PQB4E,2026-05-01T16:29:59Z,92057.85,PKR,jazzcash,CAPTURED
PAY700788,28VNRL,2026-05-01T18:42:00Z,97634.11,PKR,jazzcash,CAPTURED
PAY700521,MMK54K,2026-05-01T19:52:50Z,49374.37,PKR,easypaisa,CAPTURED
PAY700172,JQEUUE,2026-05-01T20:03:39Z,42446.75,PKR,card,FAILED
PAY700173,JQEUUE,2026-05-01T20:26:39Z,42446.75,PKR,card,CAPTURED
PAY700330,LZFL56,2026-05-01T20:45:42Z,69122.37,PKR,jazzcash,CAPTURED
PAY700518,Z7969M,2026-05-01T21:58:14Z,15380.26,PKR,jazzcash,CAPTURED
PAY700828,Q51A20,2026-05-01T22:30:12Z,48386.28,PKR,bank_transfer,CAPTURED
PAY700950,Z2SXS3,2026-05-01T22:36:34Z,295187.45,PKR,bank_transfer,CAPTURED
PAY700823,3U8GAH,2026-05-02T00:38:30Z,1454.2,AED,bank_transfer,CAPTURED
PAY700392,X6Z7RD,2026-05-02T01:58:26Z,99055.47,PKR,wallet,FAILED
PAY700393,X6Z7RD,2026-05-02T02:28:26Z,99055.47,PKR,bank_transfer,CAPTURED
PAY700048,4CQYDL,2026-05-02T04:05:04Z,237407.77,PKR,card,FAILED
PAY700049,4CQYDL,2026-05-02T04:34:04Z,237407.77,PKR,wallet,CAPTURED
PAY700773,AMMFXB,2026-05-02T09:25:41Z,205503.72,PKR,bank_transfer,CAPTURED
PAY700672,ACUP5R,2026-05-02T10:12:48Z,191674.04,PKR,wallet,CAPTURED
PAY700679,K60XLD,2026-05-02T12:35:44Z,77750.1,PKR,wallet,CAPTURED
PAY700714,ADA8ME,2026-05-02T13:19:47Z,39569.12,PKR,card,CAPTURED
PAY700304,QXBA1V,2026-05-02T15:10:04Z,369110.47,PKR,wallet,CAPTURED
PAY700996,5C2ZYJ,2026-05-02T15:44:31Z,83932.86,PKR,jazzcash,CAPTURED
PAY700478,33WZ58,2026-05-02T16:28:17Z,188287.07,PKR,jazzcash,CAPTURED
PAY700955,Y8A3LZ,2026-05-03T00:08:53Z,88786.17,PKR,wallet,CAPTURED
PAY700749,P0N749,2026-05-03T00:42:11Z,76331.37,PKR,wallet,CAPTURED
PAY700179,02EVMB,2026-05-03T03:07:35Z,101650.58,PKR,bank_transfer,FAILED
PAY700180,02EVMB,2026-05-03T03:28:35Z,101650.58,PKR,bank_transfer,CAPTURED
PAY700402,YF7QQ8,2026-05-03T03:28:53Z,49875.93,PKR,wallet,CAPTURED
PAY701020,M0830K,2026-05-03T08:12:41Z,257386.11,PKR,card,FAILED
PAY700347,1TM0QJ,2026-05-03T08:24:43Z,61742.81,PKR,bank_transfer,CAPTURED
PAY701021,M0830K,2026-05-03T08:26:41Z,257386.11,PKR,wallet,CAPTURED
PAY701046,1AQ502,2026-05-03T09:03:03Z,323989.42,PKR,bank_transfer,CAPTURED
PAY700378,S5J54U,2026-05-03T09:40:49Z,982.09,AED,jazzcash,FAILED
PAY700379,S5J54U,2026-05-03T09:54:49Z,982.09,AED,easypaisa,CAPTURED
PAY700547,ET4CGG,2026-05-03T11:50:19Z,53871.8,PKR,jazzcash,CAPTURED
PAY700747,UYNLUE,2026-05-03T15:15:35Z,21942.91,PKR,jazzcash,CAPTURED
PAY701072,K1B1DU,2026-05-03T19:07:39Z,129617.18,PKR,card,CAPTURED
PAY700102,JBVZ3D,2026-05-03T19:19:31Z,104411.72,PKR,wallet,CAPTURED
PAY700206,YCFUY1,2026-05-03T20:17:13Z,213975.1,PKR,card,CAPTURED
PAY700323,Z5JQGX,2026-05-03T21:28:53Z,146347.95,PKR,wallet,CAPTURED
PAY700159,B89T4G,2026-05-03T21:49:11Z,93195.59,PKR,bank_transfer,CAPTURED
PAY700292,TYWTVB,2026-05-04T00:26:19Z,334989.4,PKR,jazzcash,CAPTURED
PAY700800,ZXM2GJ,2026-05-04T00:30:39Z,39006.66,PKR,jazzcash,CAPTURED
PAY700801,ZXM2GJ,2026-05-04T00:31:45Z,39006.66,PKR,card,CAPTURED
PAY700912,JJGRX6,2026-05-04T06:13:43Z,110023.67,PKR,wallet,CAPTURED
PAY700601,BRK0PW,2026-05-04T08:56:56Z,71874.73,PKR,easypaisa,CAPTURED
PAY700766,AR2540,2026-05-04T09:35:16Z,104107.47,PKR,wallet,CAPTURED
PAY700073,FCFHSC,2026-05-04T11:10:51Z,102096.39,PKR,card,CAPTURED
PAY700603,5QC268,2026-05-04T11:47:07Z,220728.48,PKR,wallet,CAPTURED
PAY700925,EXB4Z6,2026-05-04T12:51:19Z,99606.08,PKR,bank_transfer,CAPTURED
PAY700737,JMKRCB,2026-05-04T13:46:54Z,139264.43,PKR,easypaisa,CAPTURED
PAY701055,2WH34B,2026-05-04T14:39:41Z,47195.11,PKR,jazzcash,CAPTURED
PAY700831,YHBN67,2026-05-04T17:05:12Z,67872.61,PKR,card,CAPTURED
PAY700047,4VP69C,2026-05-04T17:20:45Z,110934.84,PKR,easypaisa,CAPTURED
PAY701063,NV88P8,2026-05-04T19:33:33Z,152978.43,PKR,card,CAPTURED
PAY700345,73UUXG,2026-05-04T19:45:03Z,442150.3,PKR,easypaisa,CAPTURED
PAY700889,V7YU4J,2026-05-04T20:51:58Z,45101.63,PKR,wallet,CAPTURED
PAY700933,RYQ62W,2026-05-04T22:49:51Z,113223.77,PKR,easypaisa,CAPTURED
PAY700652,F3Y3GP,2026-05-05T09:01:43Z,44612.86,PKR,jazzcash,CAPTURED
PAY700070,95QUGB,2026-05-05T11:04:36Z,68426.7,PKR,bank_transfer,CAPTURED
PAY700106,5EAACR,2026-05-05T12:36:49Z,403043.62,PKR,easypaisa,CAPTURED
PAY701035,MJLMKP,2026-05-05T17:13:17Z,106779.75,PKR,wallet,CAPTURED
PAY700948,T1QD5N,2026-05-05T17:44:55Z,144972.3,PKR,easypaisa,CAPTURED
PAY700210,ULG08F,2026-05-05T18:23:01Z,502042.41,PKR,easypaisa,CAPTURED
PAY700354,4NRVU2,2026-05-05T20:18:34Z,69592.6,PKR,easypaisa,FAILED
PAY700355,4NRVU2,2026-05-05T20:32:34Z,69592.6,PKR,card,CAPTURED
PAY700563,47CZMP,2026-05-05T21:26:06Z,222634.06,PKR,card,FAILED
PAY700926,L2MGA9,2026-05-05T21:39:02Z,433.24,USD,jazzcash,CAPTURED
PAY700564,47CZMP,2026-05-05T21:47:06Z,222634.06,PKR,jazzcash,CAPTURED
PAY700738,0VC5F5,2026-05-05T22:03:31Z,141635.9,PKR,card,CAPTURED
PAY700992,NUE0T9,2026-05-06T00:03:27Z,89642.56,PKR,card,CAPTURED
PAY700973,9PA2XX,2026-05-06T03:00:01Z,140608.28,PKR,easypaisa,CAPTURED
PAY700695,E5P51K,2026-05-06T04:51:39Z,34595.08,PKR,jazzcash,CAPTURED
PAY700137,DYES47,2026-05-06T05:31:09Z,212786.27,PKR,wallet,CAPTURED
PAY700396,J7HN6P,2026-05-06T06:17:26Z,54427.88,PKR,easypaisa,CAPTURED
PAY700243,UJ10F3,2026-05-06T07:41:01Z,355469.96,PKR,easypaisa,CAPTURED
PAY700527,EGLTHT,2026-05-06T08:46:11Z,103804.01,PKR,card,CAPTURED
PAY700594,R1DD27,2026-05-06T17:19:03Z,208246.62,PKR,card,CAPTURED
PAY700279,6JMBFC,2026-05-06T19:22:01Z,322077.79,PKR,wallet,CAPTURED
PAY700037,WVH0ET,2026-05-06T19:34:36Z,223418.78,PKR,card,CAPTURED
PAY700508,DGAQMR,2026-05-06T19:35:44Z,121954.48,PKR,card,CAPTURED
PAY700483,METL35,2026-05-06T19:44:08Z,111449.6,PKR,card,CAPTURED
PAY700307,VU7DYN,2026-05-06T20:30:15Z,108952.17,PKR,bank_transfer,CAPTURED
PAY700618,Z160FW,2026-05-06T20:33:21Z,151171.66,PKR,easypaisa,CAPTURED
PAY700619,Z160FW,2026-05-06T20:33:47Z,151171.66,PKR,card,CAPTURED
PAY700336,NUQHCF,2026-05-06T21:13:29Z,42841.89,PKR,jazzcash,CAPTURED
PAY700585,LFF5PD,2026-05-07T00:07:48Z,60025.94,PKR,bank_transfer,CAPTURED
PAY700377,5HGK48,2026-05-07T01:46:46Z,268999.45,PKR,jazzcash,CAPTURED
PAY701017,JHMSM0,2026-05-07T04:30:42Z,55870.89,PKR,easypaisa,CAPTURED
PAY700898,9GJEJQ,2026-05-07T04:36:40Z,63659.67,PKR,bank_transfer,CAPTURED
PAY700811,PFNF35,2026-05-07T05:38:00Z,212581.61,PKR,jazzcash,CAPTURED
PAY700745,BCARSH,2026-05-07T06:18:04Z,64802.71,PKR,wallet,CAPTURED
PAY700429,LV3XS8,2026-05-07T06:36:27Z,261518.78,PKR,jazzcash,CAPTURED
PAY700711,GYJE36,2026-05-07T10:41:49Z,23579.47,PKR,easypaisa,CAPTURED
PAY700358,9307AX,2026-05-07T14:21:01Z,1477.0,AED,bank_transfer,CAPTURED
PAY700398,4WDZP7,2026-05-07T17:11:46Z,127072.73,PKR,easypaisa,CAPTURED
PAY700097,43RJ2D,2026-05-07T19:08:53Z,42571.41,PKR,bank_transfer,CAPTURED
PAY700286,F188W2,2026-05-07T19:36:31Z,95270.1,PKR,bank_transfer,CAPTURED
PAY700724,FGSNEV,2026-05-07T19:47:01Z,45047.69,PKR,wallet,CAPTURED
PAY700150,RKC6Z8,2026-05-07T20:44:55Z,119077.27,PKR,jazzcash,CAPTURED
PAY700090,WED2JQ,2026-05-07T21:12:16Z,145017.23,PKR,card,FAILED
PAY700091,WED2JQ,2026-05-07T21:13:16Z,145017.23,PKR,easypaisa,CAPTURED
PAY700092,WED2JQ,2026-05-07T21:13:45Z,145017.23,PKR,card,CAPTURED
PAY700715,DZUWFD,2026-05-07T22:18:07Z,109361.85,PKR,easypaisa,CAPTURED
PAY700503,SEL9TS,2026-05-07T22:29:37Z,167647.18,PKR,jazzcash,CAPTURED
PAY701025,DPXD1Y,2026-05-07T22:50:30Z,38730.44,PKR,jazzcash,CAPTURED
PAY700540,1RHS24,2026-05-08T01:33:23Z,293295.31,PKR,easypaisa,CAPTURED
PAY700295,PZS3WN,2026-05-08T04:48:41Z,94482.9,PKR,bank_transfer,CAPTURED
PAY700761,NTT1P0,2026-05-08T07:00:15Z,209683.88,PKR,bank_transfer,CAPTURED
PAY700523,J1EK8A,2026-05-08T07:10:55Z,30412.54,PKR,jazzcash,CAPTURED
PAY700874,6U9MAS,2026-05-08T08:13:09Z,14158.65,PKR,jazzcash,CAPTURED
PAY700437,E14HMA,2026-05-08T09:19:22Z,29502.72,PKR,card,CAPTURED
PAY700510,A2BT66,2026-05-08T15:04:43Z,61234.58,PKR,card,CAPTURED
PAY700028,N6D8VR,2026-05-08T16:47:43Z,281621.4,PKR,card,CAPTURED
PAY700056,5BA3Y2,2026-05-08T22:29:37Z,44940.07,PKR,card,CAPTURED
PAY700109,07CA13,2026-05-08T23:52:49Z,225361.81,PKR,bank_transfer,CAPTURED
PAY700060,ZL4DJ1,2026-05-08T23:55:36Z,133459.0,PKR,easypaisa,CAPTURED
PAY700267,M9GCCV,2026-05-09T00:46:28Z,126982.96,PKR,wallet,FAILED
PAY700268,M9GCCV,2026-05-09T01:16:28Z,126982.96,PKR,easypaisa,CAPTURED
PAY700830,7Y6L2V,2026-05-09T03:26:27Z,113587.43,PKR,jazzcash,CAPTURED
PAY700019,L58FET,2026-05-09T08:30:14Z,198347.17,PKR,easypaisa,CAPTURED
PAY700943,FDWDRY,2026-05-09T08:33:44Z,94371.97,PKR,jazzcash,CAPTURED
PAY700391,RNKZGV,2026-05-09T08:51:06Z,114928.56,PKR,jazzcash,CAPTURED
PAY700390,6WREZ7,2026-05-09T11:31:26Z,306654.45,PKR,jazzcash,CAPTURED
PAY700885,4LDT0C,2026-05-09T16:53:10Z,105349.66,PKR,bank_transfer,CAPTURED
PAY700886,4LDT0C,2026-05-09T16:54:19Z,105349.66,PKR,card,CAPTURED
PAY700984,8QG4BP,2026-05-09T18:01:09Z,270002.16,PKR,bank_transfer,CAPTURED
PAY700666,D0CF0V,2026-05-09T18:50:11Z,117122.92,PKR,easypaisa,CAPTURED
PAY700668,WYGLCU,2026-05-09T20:50:28Z,105231.88,PKR,wallet,CAPTURED
PAY700583,MGFM2L,2026-05-09T21:09:33Z,146279.37,PKR,wallet,CAPTURED
PAY700981,TZKMGR,2026-05-09T22:25:18Z,33182.04,PKR,wallet,CAPTURED
PAY700262,GBGFAE,2026-05-10T00:35:46Z,64944.53,PKR,bank_transfer,CAPTURED
PAY700435,LSCGP2,2026-05-10T01:23:12Z,39126.0,PKR,bank_transfer,CAPTURED
PAY700817,7VUZ3A,2026-05-10T03:05:45Z,270079.88,PKR,card,CAPTURED
PAY700328,3DFZ6Y,2026-05-10T04:15:52Z,41000.03,PKR,easypaisa,CAPTURED
PAY700353,U3GNGU,2026-05-10T05:01:26Z,33878.81,PKR,wallet,CAPTURED
PAY700163,KHLYQW,2026-05-10T07:22:50Z,145164.33,PKR,bank_transfer,CAPTURED
PAY700629,KQXBC4,2026-05-10T08:35:19Z,39393.33,PKR,bank_transfer,CAPTURED
