rate_date,currency,pkr_per_unit
2026-05-01,AED,76.5395
2026-05-01,PKR,1.0
2026-05-01,USD,280.7764
2026-05-02,AED,76.3749
2026-05-02,PKR,1.0
2026-05-02,USD,281.4187
2026-05-03,AED,76.197
2026-05-03,PKR,1.0
2026-05-03,USD,282.0721
2026-05-04,AED,76.1738
2026-05-04,PKR,1.0
2026-05-04,USD,282.1513
2026-05-05,AED,76.1992
2026-05-05,PKR,1.0
2026-05-05,USD,282.6813
2026-05-06,AED,76.2942
2026-05-06,PKR,1.0
2026-05-06,USD,282.0018
2026-05-07,AED,76.2258
2026-05-07,PKR,1.0
2026-05-07,USD,281.8911
2026-05-08,AED,76.367
2026-05-08,PKR,1.0
2026-05-08,USD,281.6874
2026-05-09,AED,76.2963
2026-05-09,PKR,1.0
2026-05-09,USD,282.063
2026-05-10,AED,76.1101
2026-05-10,PKR,1.0
2026-05-10,USD,281.4527
2026-05-11,AED,76.0678
2026-05-11,PKR,1.0
2026-05-11,USD,280.8642
2026-05-12,AED,76.088
2026-05-12,PKR,1.0
2026-05-12,USD,280.8326
2026-05-13,AED,75.9069
2026-05-13,PKR,1.0
2026-05-13,USD,280.2047
2026-05-14,AED,76.011
2026-05-14,PKR,1.0
2026-05-14,USD,280.5005
2026-05-15,AED,75.93
2026-05-15,PKR,1.0
2026-05-15,USD,280.7498
2026-05-16,AED,76.0747
2026-05-16,PKR,1.0
2026-05-16,USD,280.6365
2026-05-17,AED,75.9709
2026-05-17,PKR,1.0
2026-05-17,USD,280.2606
2026-05-18,AED,75.7906
2026-05-18,PKR,1.0
2026-05-18,USD,280.4246
2026-05-19,AED,75.7005
2026-05-19,PKR,1.0
2026-05-19,USD,279.8034
2026-05-20,AED,75.8417
2026-05-20,PKR,1.0
2026-05-20,USD,279.4765
2026-05-21,AED,75.7291
2026-05-21,PKR,1.0
2026-05-21,USD,279.017
2026-05-22,AED,75.6653
2026-05-22,PKR,1.0
2026-05-22,USD,278.9941
2026-05-23,AED,75.4844
2026-05-23,PKR,1.0
2026-05-23,USD,279.5379
2026-05-24,AED,75.4312
2026-05-24,PKR,1.0
2026-05-24,USD,279.3194
2026-05-25,AED,75.3291
2026-05-25,PKR,1.0
2026-05-25,USD,279.3342
2026-05-26,AED,75.2344
2026-05-26,PKR,1.0
2026-05-26,USD,279.9552
2026-05-27,AED,75.1498
2026-05-27,PKR,1.0
2026-05-27,USD,280.3237
2026-05-28,AED,75.2743
2026-05-28,PKR,1.0
2026-05-28,USD,280.4522
2026-05-29,AED,75.3114
2026-05-29,PKR,1.0
2026-05-29,USD,280.6965
2026-05-30,AED,75.1399
2026-05-30,PKR,1.0
2026-05-30,USD,280.4643
2026-05-31,AED,75.003
2026-05-31,PKR,1.0
2026-05-31,USD,279.9858
2026-06-01,AED,75.0931
2026-06-01,PKR,1.0
2026-06-01,USD,280.081
2026-06-02,AED,75.1296
2026-06-02,PKR,1.0
2026-06-02,USD,279.6251
2026-06-03,AED,75.0802
2026-06-03,PKR,1.0
2026-06-03,USD,280.2622
2026-06-04,AED,75.2219
2026-06-04,PKR,1.0
2026-06-04,USD,280.4501
2026-06-05,AED,75.1032
2026-06-05,PKR,1.0
2026-06-05,USD,280.2823
2026-06-06,AED,75.1129
2026-06-06,PKR,1.0
2026-06-06,USD,280.7745
2026-06-07,AED,75.2994
2026-06-07,PKR,1.0
2026-06-07,USD,280.8438
2026-06-08,AED,75.4759
2026-06-08,PKR,1.0
2026-06-08,USD,280.2341
